,4711
A,"Laptop HP Gaming Victus 16-e0175AX R5 5600H/8GB/512GB/16.1""FHD/NVIDIA GeForce RTX 3050 Ti 4GB/Win 11"
B,https://fptshop.com.vn//may-doi-tra/may-tinh-xach-tay-cu-gia-re/hp-gaming-victus-16-e0175ax-r5-5600h-rtx-3050ti-htm
C,26.490.000
D,7 máy
E,370 x 260 x 23.5 mm
F,2.46 kg
G,Mặt bàn phím + kê tay: Nhựa
H,AMD
I,Ryzen 5
J,5600H
K,3.30 GHz
L,4.20 GHz
M,6
N,12
O,16 MB
P,
Q,8 GB (2 thanh 4 GB)
R,DDR4
S,3200 MHz
T,2
U,0
V,0
W,32 GB
X,16.1 inch
Y,Micro-edge WLED-backlit
Z,1920 x 1080 Pixels
AA,LED
AB,144 Hz
AC,IPS
AD,300 nits
AE,16:09
AF,
AG,Không
AH,
AI,
AJ,
AK,
AL,NVIDIA
AM,GeForce RTX 3050 Ti
AN,4 GB DDR4
AO,SSD
AP,Không
AQ,2
AR,1
AS,M.2 NVMe
AT,512 GB
AU,"1 Card reader, 1 DC-in jack, 1 HDMI, 1 Jack 3.5 mm, 1 LAN, 1 Type C, 3 USB 2.0"
AV,Wifi 6
AW,v5.2
AX,HD Webcam (720p Webcam)
AY,
AZ,English International Backlit Keyboard
BA,Có
BB,LED
BC,Trắng
BD,"4 Cell, 70 Wh"
BE,
BF,Windows
BG,Windows 11 Home
BH,64 bit
BI,
BJ,
BK,45% NTSC
BL,Đơn sắc
BM,Multi-touch touchpad
BN,Lithium polymer
BO,
BP,HP audio boost
BQ,
BR,
BS,
BT,
BU,
BV,
BW,
BX,
