,493
A,Laptop Asus VivoBook X515EA-BR1409T i5 1135G7/8GB/512GB SSD/Win10
B,https://fptshop.com.vn//may-doi-tra/may-tinh-xach-tay-cu-gia-re/asus-vivobook-x515ea-br1409t-i5-1135g7-htm
C,17.590.000
D,3 máy
E,360 x 235 x 199 mm
F,1.8 kg
G,"Khung màn hình: Nhựa ABS, Mặt bàn phím + kê tay: Nhựa ABS, Mặt bên ngoài cùng: Nhựa ABS, Mặt lưng máy: Nhựa ABS"
H,Intel
I,Core i5
J,1135G7
K,2.40 GHz
L,4.20 GHz
M,4
N,8
O,8 MB
P,4 GT/s
Q,8 GB
R,DDR4
S,2666 MHz
T,1
U,0
V,1
W,12 GB
X,15.6 inch
Y,LED Backlit
Z,1366 x 768 Pixels
AA,LED
AB,60 Hz
AC,TN
AD,200 nits
AE,
AF,
AG,Không
AH,Intel
AI,Iris Xe
AJ,
AK,
AL,
AM,
AN,
AO,SSD
AP,Không
AQ,2
AR,1
AS,M2. PCIe
AT,512 GB
AU,"1 DC-in jack, 1 HDMI, 1 Jack 3.5 mm, 1 Type C, 1 USB 2.0, 1 USB 3.0"
AV,802.11 ac
AW,v4.1
AX,
AY,1
AZ,Chiclet Keyboard
BA,
BB,
BC,
BD,2 Cell
BE,37 W
BF,Windows
BG,Windows 10 Home
BH,64 bit
BI,
BJ,
BK,45% NTSC
BL,
BM,Multi-touch touchpad
BN,Lithium-ion
BO,
BP,
BQ,
BR,
BS,
BT,
BU,
BV,
BW,
BX,
